,0
0,8.0
1,10.0
2,8.0
3,10.0
4,10.0
5,10.0
6,9.0
7,10.0
8,10.0
9,10.0
10,9.1894038713323
11,7.902859730543955
12,7.774820347574098
13,7.890945591294779
14,8.23855134299287
15,8.040928498534118
16,5.974459557725505
17,9.636230782926614
18,9.00461127283358
19,7.6929154894208605
20,7.355743760060417
21,9.107002475059263
22,8.36350095072961
23,8.156939735497987
24,9.467316936193992
25,8.450741687062905
26,8.89998900179689
27,7.327730993507773
28,7.296614529976487
29,8.494843014178137
30,9.0
31,10.0
32,4.0
33,3.0
34,9.0
35,5.0
36,6.0
37,4.0
38,10.0
39,10.0
40,3.0
41,10.0
42,10.0
43,5.0
44,10.0
45,10.0
46,9.0
47,10.0
48,10.0
49,2.0
50,10.0
51,10.0
52,8.0
53,10.0
54,9.0
55,8.0
56,5.0
57,10.0
58,7.0
59,6.0
60,9.24597855592621
61,7.728668782905434
62,8.009460093972379
63,8.383524056117222
64,8.47831995831476
65,8.206210961490733
66,8.66427655118506
67,9.219797984501238
68,9.421147320262172
69,8.810290845176612
70,10.0
71,7.3798522266739965
72,10.0
73,7.39838106082615
74,8.869265379854474
75,7.0
76,8.3569505162124
77,10.0
78,9.878875072754465
79,8.556820215411014
80,10.0
81,8.0
82,10.0
83,10.0
84,10.0
85,9.0
86,7.0
87,10.0
88,6.0
89,10.0
90,9.0
91,4.0
92,8.823600240549144
93,8.909385319374207
94,8.54871073980244
95,6.0
96,10.0
97,7.1299572218496285
98,8.864411076160785
99,8.791371363871399
100,10.0
101,10.0
102,4.0
103,10.0
104,10.0
105,10.0
106,6.0
107,4.0
108,7.0
109,10.0
110,5.0
111,7.0
112,10.0
113,10.0
114,10.0
115,10.0
116,10.0
117,10.0
118,10.0
119,10.0
120,9.555720251910262
121,3.0
122,9.107429738535814
123,9.24387778334646
124,9.27556925194157
125,7.87777313365453
126,8.34060764562519
127,8.986503555505077
128,8.370510852317901
129,10.0
130,6.0
131,8.0
132,8.217749751074793
133,7.888083829360587
134,8.590600374888288
135,6.0
136,10.0
137,7.85766205492977
138,10.0
139,8.795553249623222
140,7.0
141,4.0
142,10.0
143,10.0
144,7.278105859275881
145,6.0
146,2.0
147,8.0
148,8.0
149,8.0
150,10.0
151,5.0
152,9.0
153,9.0
154,10.0
155,10.0
156,0.0
157,5.0
158,10.0
159,10.0
160,10.0
161,10.0
162,10.0
163,9.0
164,6.0
165,4.0
166,6.0
167,10.0
168,10.0
169,6.0
170,8.967617071535043
171,10.767900727236903
172,8.793435717072258
173,9.094573344371062
174,10.150888676998557
175,7.909870717212336
176,8.322986816611744
177,8.409316137412798
178,8.020390435629457
179,5.7795984830813
180,8.0
181,10.0
182,10.0
183,10.0
184,7.0
185,10.0
186,10.0
187,10.0
188,10.0
189,8.0
190,8.542349809704486
191,8.945567570396623
192,8.401408359744014
193,8.59485600786298
194,7.23158225994809
195,7.657722151873726
196,9.110441848435817
197,6.586840531474102
198,8.651941857509897
199,9.407316656603388
200,10.0
201,10.0
202,10.0
203,10.0
204,10.0
205,6.0
206,10.0
207,9.0
208,9.0
209,3.0
210,10.0
211,8.0
212,8.686277136085673
213,9.388761197311002
