,0
0,1
1,1
2,1
3,0
4,0
5,1
6,1
7,0
8,1
9,1
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,1
32,0
33,1
34,1
35,0
36,0
37,0
38,1
39,1
40,0
41,1
42,0
43,1
44,1
45,1
46,1
47,0
48,1
49,0
50,1
51,1
52,1
53,1
54,1
55,0
56,1
57,0
58,1
59,1
60,0
61,1
62,1
63,0
64,1
65,0
66,0
67,1
68,1
69,0
70,1
71,0
72,0
73,1
74,0
75,0
76,1
77,1
78,0
79,0
80,0
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,0
89,1
90,0
91,1
92,1
93,0
94,1
95,0
96,0
97,0
98,1
99,0
100,1
101,1
102,1
103,0
104,1
105,0
106,1
107,0
108,0
109,0
110,1
111,1
112,0
113,0
114,1
115,1
116,1
117,1
118,1
119,0
120,1
121,1
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,1
132,0
133,0
134,0
135,0
136,1
137,0
138,0
139,0
140,1
141,0
142,0
143,1
144,0
145,0
146,1
147,1
148,0
149,0
150,1
151,1
152,1
153,1
154,1
155,1
156,0
157,1
158,0
159,1
160,0
161,1
162,1
163,1
164,0
165,1
166,0
167,0
168,0
169,0
170,1
171,1
172,1
173,0
174,1
175,0
176,0
177,0
178,0
179,0
180,1
181,0
182,1
183,1
184,0
185,1
186,1
187,1
188,1
189,1
190,0
191,0
192,1
193,0
194,0
195,0
196,1
197,0
198,0
199,0
200,1
201,1
202,0
203,1
204,1
205,0
206,0
207,1
208,1
209,0
210,0
211,0
212,0
213,1
214,1
215,0
216,1
217,0
218,1
219,0
220,0
221,0
222,0
223,0
224,0
225,1
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,1
234,1
235,0
236,0
237,1
238,1
239,0
240,1
241,1
242,0
243,0
244,1
245,1
246,1
247,0
248,1
249,0
250,1
251,0
252,1
253,1
254,0
255,1
256,0
257,1
258,1
259,0
260,0
261,0
262,1
263,0
264,1
265,0
266,0
267,0
268,0
269,0
270,0
271,1
272,1
273,1
274,1
275,0
276,0
277,1
278,0
279,1
280,0
281,0
282,0
283,0
284,0
285,1
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,1
296,1
297,1
298,0
299,1
300,0
301,0
302,1
303,0
304,1
305,0
306,0
307,1
308,0
309,1
310,0
311,0
312,0
313,0
314,0
315,0
316,1
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,1
330,1
331,0
332,1
333,0
334,1
335,1
336,0
337,0
338,0
339,0
340,1
341,1
342,0
343,0
344,0
345,0
346,0
347,1
348,0
349,0
350,0
351,0
352,0
353,0
354,1
355,0
356,0
357,0
358,1
359,0
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,0
371,0
372,0
373,0
374,1
375,1
376,0
377,0
378,1
379,0
380,0
381,0
382,1
383,0
384,0
385,1
386,1
387,0
388,0
389,1
390,0
391,0
392,1
393,0
394,0
395,1
396,0
397,1
398,1
399,0
400,0
401,1
402,0
403,0
404,0
405,0
406,1
407,0
408,0
409,1
410,1
411,0
412,1
413,0
414,0
415,0
416,1
417,0
418,0
419,0
420,1
421,0
422,0
423,0
424,0
425,0
426,1
427,0
428,0
429,0
430,0
431,1
432,1
433,1
434,0
435,1
436,1
437,0
438,1
439,1
440,1
441,0
442,0
443,0
444,0
445,1
446,0
447,0
448,0
449,0
450,0
451,1
452,0
453,0
454,0
455,0
456,0
457,0
458,1
459,0
460,0
461,1
462,1
463,0
464,1
465,0
466,1
467,1
468,1
469,0
470,1
471,0
472,0
473,0
474,0
475,0
476,0
477,1
478,0
479,0
480,0
481,0
482,0
483,0
484,1
485,0
486,0
487,0
488,0
489,0
490,0
491,1
492,0
493,0
494,0
495,0
496,0
497,1
498,0
499,1
500,0
501,0
502,0
503,0
504,0
505,0
506,1
507,0
508,0
509,0
510,0
511,0
512,0
513,1
514,1
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,1
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,1
542,1
543,0
544,0
545,1
546,1
547,1
548,0
549,1
550,1
551,0
552,1
553,0
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,0
562,1
563,0
564,0
565,0
566,1
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,1
581,0
582,0
583,0
584,1
585,0
586,1
587,1
588,1
589,0
590,0
591,1
592,1
593,1
594,0
595,0
596,1
597,0
598,1
599,0
600,1
601,1
602,1
603,0
604,0
605,1
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,1
617,0
618,0
619,0
620,0
621,0
622,1
623,1
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,1
632,0
633,0
634,1
635,1
636,1
637,1
638,0
639,1
640,0
641,1
642,1
643,1
644,0
645,0
646,0
647,0
648,1
649,1
650,0
651,0
652,0
653,0
654,0
655,1
656,0
657,0
658,0
659,0
660,0
661,1
662,0
663,1
664,1
665,1
666,0
667,0
668,1
669,1
670,1
671,1
672,1
673,0
674,1
675,1
676,0
677,1
678,1
679,0
680,0
681,0
682,1
683,1
684,1
685,0
686,0
687,0
688,1
689,0
690,0
691,0
692,1
693,1
694,1
695,1
696,0
697,0
698,1
699,1
700,0
701,1
702,1
703,0
704,0
705,0
706,1
707,0
708,0
709,0
710,1
711,1
712,0
713,0
714,0
715,1
716,0
717,1
718,1
719,0
720,1
721,1
722,0
723,1
724,0
725,1
726,1
727,1
728,0
729,0
730,0
731,1
732,0
733,1
734,1
735,1
736,0
737,0
738,1
739,0
740,0
741,0
742,1
743,0
744,0
745,1
746,1
747,1
748,0
749,0
750,1
751,0
752,1
753,0
754,0
755,0
756,0
757,1
758,0
759,1
760,0
761,0
762,0
763,1
764,1
765,0
766,0
767,0
768,0
769,0
770,1
771,1
772,0
773,0
774,0
775,0
776,0
777,0
778,1
779,0
780,1
781,1
782,0
783,0
784,1
785,0
786,1
787,1
788,1
789,1
790,1
791,1
792,0
793,1
794,0
795,1
796,1
797,1
798,1
799,0
800,0
801,0
802,1
803,0
804,0
805,0
806,1
807,1
808,1
809,0
810,0
811,0
812,0
