,0
0,7
1,15
2,9
3,8
4,12
5,14
6,6
7,3
8,11
9,5
10,12
11,7
12,10
13,0
14,7
15,2
16,3
17,31
18,2
19,18
20,23
21,21
22,12
23,4
24,12
25,16
26,3
27,2
28,1
29,6
30,4
31,4
32,2
33,19
34,9
35,21
36,17
37,4
38,1
39,6
40,4
41,7
42,13
43,9
44,2
45,20
46,4
47,0
48,9
49,13
50,12
51,4
52,10
53,20
54,7
55,12
56,12
57,3
58,13
59,2
60,23
61,11
62,2
63,9
64,3
65,26
66,25
67,11
68,0
69,21
70,0
71,9
72,21
73,25
74,2
75,22
76,0
77,2
78,10
79,9
80,8
81,6
82,3
83,2
84,1
85,2
86,30
87,1
88,21
89,7
90,1
91,10
92,4
93,4
94,9
95,3
96,11
97,11
98,16
99,6
100,15
101,1
102,4
103,1
104,13
105,10
106,9
107,27
108,2
109,7
110,1
111,10
112,6
113,15
114,4
115,15
116,1
117,12
118,4
119,23
120,20
121,2
122,7
123,13
124,22
125,4
126,14
127,2
128,8
129,1
130,11
131,5
132,13
133,6
134,6
135,7
136,3
137,12
138,2
139,5
140,2
141,25
142,5
143,17
144,9
145,0
146,0
147,6
148,25
149,25
150,9
151,4
152,13
153,4
154,2
155,4
156,6
157,0
158,7
159,7
160,7
161,8
162,7
163,3
164,1
165,17
166,10
167,6
168,17
169,6
170,5
171,30
172,16
173,33
174,27
175,1
176,11
177,6
178,8
179,25
180,22
181,4
182,3
183,1
184,10
185,2
186,10
187,7
188,2
189,12
190,13
191,25
192,23
193,7
194,2
195,9
196,8
197,3
198,14
199,3
200,23
201,4
202,5
203,2
204,5
205,4
206,20
207,24
208,0
209,6
210,2
211,7
212,7
213,9
214,9
215,6
216,20
217,22
218,9
219,21
220,7
221,7
222,13
223,0
224,5
225,6
226,13
227,64
228,2
229,20
230,9
231,2
232,19
233,5
234,12
235,9
236,9
237,18
238,0
239,15
240,24
241,10
242,12
243,23
244,0
245,10
246,15
247,26
248,4
249,4
250,4
251,3
252,9
253,25
254,4
255,18
256,17
257,4
258,4
259,2
260,3
261,2
262,35
263,14
264,20
265,4
266,2
267,5
268,21
269,23
270,17
271,14
272,10
273,9
274,2
275,15
276,4
277,26
278,1
279,8
280,0
281,5
282,2
283,16
284,6
285,2
286,16
287,6
288,6
289,0
290,3
291,8
292,9
293,21
294,11
295,2
296,2
297,8
298,2
299,11
300,7
301,2
302,32
303,21
304,3
305,3
306,14
307,25
308,1
309,0
310,20
311,16
312,7
313,2
314,12
315,9
316,8
317,19
318,15
319,8
320,11
321,9
322,1
323,1
324,1
325,0
326,15
327,7
328,1
329,14
330,9
331,9
332,28
333,23
334,13
335,14
336,19
337,15
338,8
339,3
340,24
341,4
342,11
343,11
344,21
345,6
346,8
347,5
348,26
349,19
350,18
351,0
352,1
353,3
354,8
355,1
356,30
357,2
358,22
359,14
360,1
361,4
362,14
363,14
364,6
365,19
366,31
367,14
368,9
369,5
370,33
371,3
372,8
373,24
374,5
375,1
376,9
377,25
378,9
379,11
380,14
381,17
382,7
383,0
384,9
385,5
386,5
387,12
388,28
389,7
390,1
391,0
392,19
393,4
394,9
395,27
396,8
397,2
398,6
399,4
400,25
401,15
402,6
403,7
404,18
405,8
406,4
407,0
408,1
409,25
410,15
411,17
412,1
413,9
414,2
415,7
416,19
417,21
418,12
419,8
420,11
421,7
422,9
423,11
424,1
425,17
426,24
427,7
428,13
429,23
430,10
431,18
432,0
433,14
434,14
435,8
436,16
437,1
438,1
439,9
440,12
441,2
442,5
443,40
444,6
445,1
446,5
447,0
448,18
449,14
450,2
451,2
452,10
453,11
454,10
455,16
456,5
457,0
458,11
459,7
460,3
461,9
462,40
463,22
464,8
465,4
466,10
467,23
468,2
469,3
470,2
471,13
472,9
473,10
474,2
475,16
476,14
477,2
478,10
479,7
480,11
481,2
482,7
483,21
484,2
485,12
486,3
487,44
488,10
489,13
490,15
491,17
492,15
493,1
494,1
495,8
496,6
497,15
498,19
499,15
500,14
501,12
502,12
503,21
504,3
505,0
506,7
507,12
508,5
509,20
510,7
511,16
512,10
513,9
514,4
515,10
516,23
517,22
518,20
519,3
520,6
521,6
522,0
523,13
524,8
525,25
526,0
527,1
528,4
529,4
530,0
531,4
532,2
533,2
534,9
535,8
536,13
537,6
538,16
539,23
540,24
541,1
542,13
543,18
544,2
545,19
546,6
547,5
548,20
549,4
550,29
551,7
552,8
553,42
554,10
555,9
556,3
557,8
558,42
559,6
560,1
561,4
562,8
563,3
564,9
565,4
566,3
567,9
568,30
569,9
570,6
571,6
572,14
573,0
574,31
575,1
576,8
577,18
578,9
579,7
580,6
581,0
582,52
583,6
584,17
585,6
586,16
587,1
588,16
589,18
590,3
591,2
592,4
593,45
594,11
595,13
596,28
597,8
598,3
599,17
600,3
601,6
602,11
603,1
604,17
605,2
606,7
607,6
608,1
609,4
610,5
611,0
612,19
613,12
614,7
615,0
616,2
617,21
618,19
619,21
620,20
621,11
622,26
623,4
624,11
625,12
626,2
627,11
628,9
629,9
630,3
631,1
632,5
633,23
634,7
635,14
636,7
637,22
638,5
639,27
640,15
641,14
642,2
643,27
644,13
645,2
646,9
647,4
648,22
649,21
650,3
651,10
652,6
653,17
654,15
655,14
656,24
657,15
658,3
659,7
660,13
661,0
662,10
663,1
664,2
665,10
666,7
667,9
668,27
669,11
670,24
671,5
672,1
673,0
674,12
675,22
676,7
677,2
678,18
679,13
680,3
681,11
682,21
683,12
684,21
685,0
686,3
687,5
688,2
689,4
690,7
691,9
692,7
693,34
694,5
695,29
696,5
697,7
698,7
699,19
700,16
701,20
702,3
703,7
704,3
705,31
706,0
707,1
708,6
709,33
710,6
711,6
712,20
713,24
714,9
715,6
716,6
717,6
718,4
719,47
720,38
721,4
722,15
723,12
724,1
725,7
726,31
727,6
728,13
729,8
730,3
731,19
732,5
733,26
734,14
735,22
736,2
737,8
738,6
739,5
740,17
741,7
742,7
743,9
744,20
745,6
746,6
747,10
748,4
749,25
750,6
751,13
752,6
753,3
754,6
755,5
756,6
757,17
758,9
759,3
760,3
761,6
762,16
763,34
764,7
765,15
766,24
767,12
768,6
769,1
770,13
771,16
772,0
773,11
774,21
775,3
776,31
777,8
778,19
779,2
780,21
781,17
782,21
783,1
784,13
785,1
786,33
787,11
788,6
789,0
790,4
791,10
792,10
793,1
794,0
795,10
796,0
797,16
798,13
799,33
800,19
801,11
802,15
803,1
804,15
805,6
806,0
807,9
808,3
809,24
810,7
811,22
812,0
813,10
814,11
815,0
816,16
817,8
818,0
819,3
820,21
821,2
822,8
823,35
824,1
825,24
826,17
827,3
828,15
829,15
830,1
831,10
832,11
833,6
834,20
835,12
836,4
837,16
838,19
839,11
840,7
841,3
842,11
843,7
844,2
845,11
846,7
847,10
848,6
849,13
850,6
851,2
852,13
853,18
854,32
855,8
856,4
857,5
858,17
859,25
860,7
861,2
862,13
863,4
864,0
865,0
866,6
867,13
868,19
869,9
870,8
871,8
872,6
873,6
874,7
875,8
876,7
877,4
878,17
879,7
880,36
881,7
882,12
883,13
884,4
885,3
886,18
887,17
888,4
889,6
890,3
891,13
892,13
893,33
894,24
895,14
896,30
897,12
898,9
899,12
900,17
901,4
902,20
903,34
904,5
905,1
906,25
907,4
908,2
909,1
910,27
911,8
912,11
913,11
914,21
915,2
916,10
917,2
918,2
919,4
920,16
921,31
922,12
923,8
924,19
925,10
926,10
927,8
928,25
929,4
930,13
931,10
932,2
933,14
934,1
935,0
936,6
937,14
938,12
939,25
940,3
941,11
942,0
943,6
944,7
945,4
946,9
947,16
948,8
949,6
950,5
951,17
952,0
953,13
954,15
955,7
956,0
957,2
958,1
959,10
960,6
961,6
962,13
963,0
964,15
965,0
966,4
967,2
968,22
969,19
970,0
971,3
972,11
973,1
974,1
975,9
976,8
977,11
978,21
979,7
980,9
981,13
982,22
983,5
984,1
985,8
986,5
987,10
988,2
989,4
990,3
991,10
992,13
993,5
994,31
995,2
996,7
997,8
998,16
999,15
